Title,US Gross,WW Gross,Production Budget,Release Date,Release Year ,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Thirteen Days,34566746,66554547,80000000,25-Dec-00,91-00,PG-13,145,New Line,Based on Real Life Events,Drama,Dramatization,Roger Donaldson,82,7.3,23578
All the Pretty Horses,15527125,18120267,45000000,25-Dec-00,91-00,PG-13,,Miramax,Based on Book/Short Story,Western,Historical Fiction,Billy Bob Thornton,32,5.7,6511
An Everlasting Piece,75078,75078,4000000,25-Dec-00,91-00,R,,Dreamworks SKG,,,,Barry Levinson,49,6,1097
Traffic,124107476,208300000,48000000,27-Dec-00,91-00,R,147,USA Films,Based on TV,Drama,Contemporary Fiction,Steven Soderbergh,91,7.8,85759
Shadow of the Vampire,8279017,8279017,8000000,29-Dec-00,91-00,R,,Lionsgate,Original Screenplay,Drama,Historical Fiction,E. Elias Merhige,81,6.8,18221
The Claim,622023,622023,13000000,29-Dec-00,91-00,R,,MGM,Based on Book/Short Story,Western,Historical Fiction,,63,6.5,3681
Double Take,29823162,29823162,24000000,12-Jan-01,00-10,PG-13,88,Walt Disney Pictures,Remake,Action,Contemporary Fiction,,12,6.8,162
Save the Last Dance,91038276,131638276,13000000,12-Jan-01,00-10,PG-13,113,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Thomas Carter,53,5.9,20355
Antitrust,10965209,10965209,30000000,12-Jan-01,00-10,PG-13,,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,25,6,16263
The Pledge,19719930,29406132,45000000,19-Jan-01,00-10,R,,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,77,6.9,22609
The Wedding Planner,60400856,94728529,28000000,26-Jan-01,00-10,PG-13,103,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Adam Shankman,16,4.8,18717
Left Behind,4221341,4221341,18500000,2-Feb-01,00-10,PG-13,,Cloud Ten Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,,,5,43
Valentine,20384136,20384136,10000000,2-Feb-01,00-10,R,96,Warner Bros.,Based on Book/Short Story,Horror,Contemporary Fiction,,9,4.3,11435
Head Over Heels,10397365,10397365,14000000,2-Feb-01,00-10,PG-13,,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mark Waters,9,4.8,6574
Saving Silverman,19351569,19351569,22000000,9-Feb-01,00-10,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,,5.6,18748
Hannibal,165092266,350100280,87000000,9-Feb-01,00-10,R,131,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39,6.4,74862
Down to Earth,64172251,71172251,30000000,16-Feb-01,00-10,PG-13,87,Paramount Pictures,Remake,Comedy,Fantasy,Paul Weitz,19,5,9193
Recess: School's Out,36696761,44451470,10000000,16-Feb-01,00-10,G,83,Walt Disney Pictures,Based on TV,Comedy,Kids Fiction,,62,6.2,2176
Sweet November,25288103,65754228,40000000,16-Feb-01,00-10,PG-13,120,Warner Bros.,Remake,Drama,Contemporary Fiction,,16,6,20891
Monkeybone,5409517,5409517,75000000,23-Feb-01,00-10,PG-13,,20th Century Fox,Based on Comic/Graphic Novel,Comedy,Fantasy,,20,4.5,8211
3000 Miles to Graceland,15738632,18708848,62000000,23-Feb-01,00-10,R,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,14,5.6,20094
The Mexican,66808615,147808615,40000000,2-Mar-01,00-10,R,124,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Gore Verbinski,55,5.9,37696
See Spot Run,33357476,43057552,16000000,2-Mar-01,00-10,PG,97,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,,24,4.9,3673
The Widow of St. Pierre,3058380,3058380,13000000,2-Mar-01,00-10,R,,Lionsgate,Based on Real Life Events,Drama,Dramatization,,,,
Dayereh,673780,673780,10000,9-Mar-01,00-10,Not Rated,,WinStar Cinema,Original Screenplay,Drama,Contemporary Fiction,,,7.3,1851
Get Over It,11560259,11560259,10000000,9-Mar-01,00-10,PG-13,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,45,5.5,9350
15 Minutes,24375436,56331864,42000000,9-Mar-01,00-10,R,120,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,32,6.1,25566
Company Man,146028,146028,12000000,9-Mar-01,00-10,PG-13,,,,,,,,5,1305
Exit Wounds,51758599,79958599,33000000,16-Mar-01,00-10,R,100,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.2,14528
Enemy at the Gates,51396781,96971293,85000000,16-Mar-01,00-10,R,131,Paramount Pictures,Based on Real Life Events,Drama,Historical Fiction,Jean-Jacques Annaud,53,7.4,59916
Memento,25544867,39665950,5000000,16-Mar-01,00-10,R,113,Newmarket Films,Based on Book/Short Story,Drama,Contemporary Fiction,Christopher Nolan,,8.7,274524
American Desi,902835,1366235,250000,16-Mar-01,00-10,Not Rated,,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,,42,6.7,1047
Heartbreakers,40334024,57753825,38000000,23-Mar-01,00-10,PG-13,124,MGM,Original Screenplay,Comedy,Contemporary Fiction,,52,6.2,20962
The Brothers,27457409,27958191,6000000,23-Mar-01,00-10,R,102,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,63,2.8,153
Say It Isn't So,5516708,5516708,25000000,23-Mar-01,00-10,R,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,9,4.6,7736
Spy Kids,112692062,197692062,35000000,30-Mar-01,00-10,PG,88,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,93,5.7,23479
Tomcats,13558739,13558739,11000000,30-Mar-01,00-10,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,15,4.9,9505
Amores Perros,5383834,20883834,2000000,30-Mar-01,00-10,R,,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Alejandro Gonzalez Inarritu,,8.1,61083
Someone Like You,27338033,38684906,23000000,30-Mar-01,00-10,PG-13,97,20th Century Fox,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Tony Goldwyn,41,5.8,10073
Tailor of Panama,13491653,27491653,18000000,30-Mar-01,00-10,R,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,John Boorman,,,
Pokemon 3: The Movie,17052128,68452128,3000000,6-Apr-01,00-10,G,,Warner Bros.,Based on TV,Adventure,Kids Fiction,,23,3.5,2577
Just Visiting,4777007,16172200,40000000,6-Apr-01,00-10,PG-13,,Walt Disney Pictures,Remake,Comedy,Fantasy,,33,5.6,6923
Blow,52990775,83282296,30000000,6-Apr-01,00-10,R,123,New Line,Based on Book/Short Story,Drama,Dramatization,Ted Demme,54,7.4,70218
Along Came a Spider,74058698,105159085,28000000,6-Apr-01,00-10,R,103,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Lee Tamahori,32,6.1,22994
Brigham City,852206,852206,1000000,6-Apr-01,00-10,PG-13,,Excel Entertainment,Original Screenplay,Thriller/Suspense,,,71,7.1,758
Joe Dirt,27087695,30987695,16000000,11-Apr-01,00-10,PG-13,91,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennie Gordon,11,5.4,18666
Kingdom Come,23247539,23393939,7000000,11-Apr-01,00-10,PG,94,Fox Searchlight,Based on Play,Comedy,Contemporary Fiction,,28,,
Josie and the Pussycats,14252830,14252830,22000000,11-Apr-01,00-10,PG-13,,Universal,Based on TV,Comedy,Contemporary Fiction,,53,5.1,11284
Bridget Jones's Diary,71500556,281527158,25000000,13-Apr-01,00-10,R,97,Miramax,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Sharon Maguire,80,6.8,58213
Crocodile Dundee in Los Angeles,25590119,39393111,25000000,20-Apr-01,00-10,PG,95,Paramount Pictures,Original Screenplay,Adventure,Contemporary Fiction,Simon Wincer,12,4.6,7082
Freddy Got Fingered,14249005,14249005,15000000,20-Apr-01,00-10,R,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,11,4,25033
Driven,32616869,54616869,72000000,27-Apr-01,00-10,PG-13,117,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,13,4.2,18795
Akira,19585,19585,8000000,27-Apr-01,00-10,R,,,Based on Comic/Graphic Novel,Action,,,,7.9,39948
The Forsaken,6755271,6755271,5000000,27-Apr-01,00-10,R,,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,8,5.1,4679
Town & Country,6712451,10364769,105000000,27-Apr-01,00-10,R,,New Line,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Chelsom,13,4.4,2889
The Mummy Returns,202007640,433007640,98000000,4-May-01,00-10,PG-13,129,Universal,Remake,Adventure,Fantasy,Stephen Sommers,47,6.2,68084
Eureka,49388,76654,2000000,4-May-01,00-10,Not Rated,,,,Drama,,,,7.9,1391
A Knight's Tale,56083966,56083966,41000000,11-May-01,00-10,PG-13,132,Sony Pictures,Original Screenplay,Adventure,Historical Fiction,,58,6.6,47609
Shrek,267655011,484399218,50000000,18-May-01,00-10,PG,90,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,8,163855
Angel Eyes,24044532,24044532,38000000,18-May-01,00-10,R,103,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,32,5.5,11089
Moulin Rouge,57386369,179213196,53000000,18-May-01,00-10,PG-13,123,20th Century Fox,Original Screenplay,Musical,Historical Fiction,Baz Luhrmann,,7.3,2105
Pearl Harbor,198539855,449239855,151500000,25-May-01,00-10,PG-13,183,Walt Disney Pictures,Based on Real Life Events,Action,Dramatization,Michael Bay,26,5.4,96186
The Animal,55762229,55762229,22000000,1-Jun-01,00-10,PG-13,83,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Luke Greenfield,30,4.6,18601
What's the Worst That Could Happen?,32267774,38462071,30000000,1-Jun-01,00-10,PG-13,98,MGM,Original Screenplay,Comedy,Contemporary Fiction,,10,5,6727
Swordfish,69772969,147080413,80000000,8-Jun-01,00-10,R,99,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Dominic Sena,25,6.3,57952
Atlantis: The Lost Empire,84052762,186049020,90000000,8-Jun-01,00-10,PG,96,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Gary Trousdale,,6.4,15552
Evolution,38311134,98341932,80000000,8-Jun-01,00-10,PG-13,102,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42,5.9,39590
Sexy Beast,6946056,6946056,4300000,13-Jun-01,00-10,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,,,7.1,20916
Lara Croft: Tomb Raider,131144183,274644183,94000000,15-Jun-01,00-10,PG-13,101,Paramount Pictures,Based on Game,Adventure,Contemporary Fiction,Simon West,,5.4,55582
Songcatcher,3050934,3050934,1800000,15-Jun-01,00-10,PG-13,,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,6.9,1997
The Fast and the Furious,144512310,206512310,38000000,22-Jun-01,00-10,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53,6,67939
Doctor Dolittle 2,112950721,176101721,72000000,22-Jun-01,00-10,PG,87,20th Century Fox,Remake,Comedy,Kids Fiction,Steve Carr,,6,2993
Baby Boy,28734552,28734552,16000000,27-Jun-01,00-10,R,130,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,69,6.1,4485
Pootie Tang,3293258,3293258,3500000,29-Jun-01,00-10,PG-13,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,27,4.5,6183
Artificial Intelligence: AI,78616689,235900000,90000000,29-Jun-01,00-10,PG-13,146,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Steven Spielberg,,6.9,91901
crazy/beautiful,16929123,19929123,13000000,29-Jun-01,00-10,PG-13,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,,6.3,12102
Cats & Dogs,93375151,200700000,60000000,4-Jul-01,00-10,PG,91,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Brad Peyton,53,5.2,16912
Scary Movie 2,71277420,141189101,45000000,4-Jul-01,00-10,R,82,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,14,4.7,43941
Kiss of the Dragon,36833473,36833473,25000000,6-Jul-01,00-10,R,98,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Chris Nahon,51,6.3,22087
Final Fantasy: The Spirits Within,32131830,85131830,137000000,11-Jul-01,00-10,PG-13,120,Sony Pictures,Based on Game,Adventure,Science Fiction,,,6.4,36227
Legally Blonde,96493426,141743426,18000000,13-Jul-01,00-10,PG-13,97,MGM,Original Screenplay,Comedy,Contemporary Fiction,Robert Luketic,67,6.2,44128
Made,5308707,5476060,5000000,13-Jul-01,00-10,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,70,6.3,9720
The Score,71069884,113542091,68000000,13-Jul-01,00-10,R,124,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Frank Oz,74,6.8,42616
Jurassic Park 3,181166115,365900000,93000000,18-Jul-01,00-10,PG-13,92,Universal,Based on Book/Short Story,Action,Science Fiction,Joe Johnston,,7.9,151365
Ghost World,6217849,8764007,5500000,20-Jul-01,00-10,R,,MGM,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Terry Zwigoff,92,7.7,42973
Hedwig and the Angry Inch,3067312,3643900,6000000,20-Jul-01,00-10,R,,Fine Line,Based on Musical/Opera,Musical,Contemporary Fiction,,92,7.6,14766
America's Sweethearts,93607673,157627733,46000000,20-Jul-01,00-10,PG-13,103,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Joe Roth,32,5.7,26899
Brother,450594,450594,12000000,20-Jul-01,00-10,R,,Sony Pictures Classics,Original Screenplay,Thriller/Suspense,,,,7.1,10831
Planet of the Apes,180011740,362211740,100000000,27-Jul-01,00-10,PG-13,120,20th Century Fox,Remake,Adventure,Science Fiction,Tim Burton,44,5.5,72763
Jackpot,44452,44452,400000,27-Jul-01,00-10,R,,,,Drama,,Michael Polish,29,5.7,408
Rush Hour 2,226164286,347425832,90000000,3-Aug-01,00-10,PG-13,90,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,51,6.4,52049
The Princess Diaries,108244774,165334774,30000000,3-Aug-01,00-10,G,115,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Garry Marshall,46,5.9,23486
Original Sin,16521410,16521410,26000000,3-Aug-01,00-10,R,,MGM,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,12,5.6,15939
The Deep End,8823109,8823109,3000000,8-Aug-01,00-10,R,,Fox Searchlight,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,81,6.6,6734
American Pie 2,145096820,286500000,30000000,10-Aug-01,00-10,R,105,Universal,Original Screenplay,Comedy,Contemporary Fiction,J.B. Rogers,52,6.2,66751
Osmosis Jones,13596911,13596911,70000000,10-Aug-01,00-10,PG,,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,Bobby Farrelly,54,6,10959
The Others,96522687,209947037,17000000,10-Aug-01,00-10,PG-13,104,Miramax,Original Screenplay,Horror,Historical Fiction,æAlejandro Amenàbar,84,7.8,86091
Session 9,378176,1619602,1500000,10-Aug-01,00-10,R,,,,,,Brad Anderson,60,6.8,14685
Rat Race,56607223,86607223,48000000,17-Aug-01,00-10,PG-13,112,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jerry Zucker,43,6.4,40087
Captain Corelli's Mandolin,25528495,62097495,57000000,17-Aug-01,00-10,R,129,Miramax,Based on Book/Short Story,Drama,Historical Fiction,John Madden,29,5.7,14706
American Outlaws,13264986,13264986,35000000,17-Aug-01,00-10,PG-13,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Les Mayfield,13,5.6,7396
Lisa Picard is Famous,113433,113433,1000000,22-Aug-01,00-10,PG-13,,,,Comedy,,Griffin Dunne,,,
John Carpenter's Ghosts of Mars,8434601,8434601,28000000,24-Aug-01,00-10,R,,Screen Media Films,Original Screenplay,Action,Science Fiction,John Carpenter,,,
Jay and Silent Bob Strike Back,30059386,33762400,22000000,24-Aug-01,00-10,R,104,Miramax/Dimension,Spin-Off,Comedy,Contemporary Fiction,Kevin Smith,53,6.8,62692
Summer Catch,19693891,19693891,17000000,24-Aug-01,00-10,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,7,4.6,6848
The Curse of the Jade Scorpion,7496522,18496522,26000000,24-Aug-01,00-10,PG-13,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,45,6.7,15897
Bubble Boy,5002310,5002310,13000000,24-Aug-01,00-10,PG-13,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,30,5.4,11073
Jeepers Creepers,37904175,55026845,10000000,31-Aug-01,00-10,R,91,MGM,Original Screenplay,Horror,Contemporary Fiction,,45,5.7,30610
Speedway Junky,17127,17127,1000000,31-Aug-01,00-10,R,,,,,,,,3.7,1205
The Musketeer,27053815,27053815,40000000,7-Sep-01,00-10,PG-13,104,Universal,Based on Book/Short Story,Adventure,Historical Fiction,Peter Hyams,10,4.4,7812
Rock Star,16991902,19317765,38000000,7-Sep-01,00-10,R,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Stephen Herek,52,5.8,15806
L.I.E.,1138836,1138836,700000,7-Sep-01,00-10,Open,,Lot 47 Films,Original Screenplay,Drama,Contemporary Fiction,,83,7.2,5122
Soul Survivors,3100650,4288246,14000000,7-Sep-01,00-10,PG-13,,Artisan,Original Screenplay,Horror,Contemporary Fiction,,4,3.6,5116
Two Can Play That Game,22235901,22391450,13000000,7-Sep-01,00-10,R,91,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,43,5.6,2370
Hardball,40222729,44102389,21000000,14-Sep-01,00-10,PG-13,106,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Brian Robbins,38,4.1,165
The Glass House,17951431,22861785,22000000,14-Sep-01,00-10,PG-13,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,21,5.6,10629
Megiddo: Omega Code 2,6047691,6047691,22000000,21-Sep-01,00-10,PG-13,,8X Entertainment,Original Screenplay,Action,Fantasy,,11,,
Glitter,4273372,4273372,8500000,21-Sep-01,00-10,PG-13,,20th Century Fox,Original Screenplay,Musical,Contemporary Fiction,Vondie Curtis-Hall,7,2,13778
Zoolander,45172250,60780981,28000000,28-Sep-01,00-10,PG-13,89,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,62,6.4,69296
Hearts in Atlantis,24185781,30885781,31000000,28-Sep-01,00-10,PG-13,101,Warner Bros.,Based on Book/Short Story,Drama,Fantasy,,49,6.8,16336
Dinner Rush,638227,1075504,2000000,28-Sep-01,00-10,R,,Access Motion Picture Group,Original Screenplay,Drama,Contemporary Fiction,,,7.2,2991
Don't Say a Word,54997476,104488383,50000000,28-Sep-01,00-10,R,113,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,23,6.1,22157
Max Keeble's Big Move,17292381,17292381,12000000,5-Oct-01,00-10,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Tim Hill,26,5.1,2490
Training Day,76261036,104505362,45000000,5-Oct-01,00-10,R,122,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Antoine Fuqua,72,7.6,82057
Serendipity,50255310,75294136,28000000,5-Oct-01,00-10,PG-13,91,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Chelsom,58,6.6,32014
Joy Ride,21973182,21973182,23000000,5-Oct-01,00-10,R,97,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,John Dahl,,5.4,118
Mulholland Drive,7219578,11919578,15000000,8-Oct-01,00-10,R,,Universal,Original Screenplay,Drama,Contemporary Fiction,David Lynch,81,7.9,103026
Bandits,41523271,71523271,75000000,12-Oct-01,00-10,PG-13,123,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,63,6.5,30732
Corky Romano,23978402,23978402,11000000,12-Oct-01,00-10,PG-13,86,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,5,4.2,6739
Riding in Cars with Boys,29781453,29781453,47000000,19-Oct-01,00-10,PG-13,131,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Penny Marshall,48,6.2,11895
The Last Castle,18208078,20541668,60000000,19-Oct-01,00-10,R,,Dreamworks SKG,Original Screenplay,Drama,Contemporary Fiction,Rod Lurie,52,6.5,21621
From Hell,31598308,31598308,35000000,19-Oct-01,00-10,R,123,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57,6.8,53477
Bones,7316658,8378853,10000000,24-Oct-01,00-10,R,,New Line,Original Screenplay,Horror,Contemporary Fiction,,22,3.9,3524
K-PAX,50315140,50315140,48000000,26-Oct-01,00-10,PG-13,121,Universal,Based on Book/Short Story,Drama,Science Fiction,Iain Softley,40,7.3,50475
Life as a House,15652637,23889158,18000000,26-Oct-01,00-10,R,,New Line,Original Screenplay,Drama,Contemporary Fiction,,46,7.5,19308
Donnie Darko,1270522,4116307,4500000,26-Oct-01,00-10,R,,Newmarket Films,Original Screenplay,Drama,Fantasy,Richard Kelly,84,8.3,210713
Thirteen Ghosts,41867960,68467960,19000000,26-Oct-01,00-10,R,91,Warner Bros.,Original Screenplay,Horror,Fantasy,,,5.1,23243
On the Line,4356743,4356743,10000000,26-Oct-01,00-10,PG,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,18,3.4,2617
High Heels and Low Lifes,226792,226792,10000000,26-Oct-01,00-10,R,,Walt Disney Pictures,,,,,20,6.1,2205
The One,43905746,43905746,49000000,2-Nov-01,00-10,PG-13,87,Sony Pictures,Original Screenplay,Action,Science Fiction,James Wong,13,5.6,24416
"Monsters, Inc.",255870172,526864330,115000000,2-Nov-01,00-10,G,95,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,David Silverman,95,7.4,39908
